Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,446511318,5728.513772905592,10551492,135.3702914350385,1172188,6004421,77.03367643823884,49993,0.6413848373018606,4993,
United States of America,Americas,78545019,23729.423,332439,100.434,5937,951348,287.414,10236,3.092,94
India,South-East Asia,42971308,3113.853,40263,2.918,3993,515210,37.334,1187,0.086,108
Brazil,Americas,29049013,13666.303,280909,132.156,15961,652143,306.805,3009,1.416,216
France,Europe,22383443,34415.227,350648,539.132,1295,136323,209.601,1061,1.631,157
The United Kingdom,Europe,19245305,28349.444,281535,414.717,32522,162147,238.852,440,0.648,66
Russian Federation,Europe,17081394,11704.839,586025,401.567,66576,357601,245.042,5155,3.532,652
Germany,Europe,16026216,19269.989,1158998,1393.584,156799,124450,149.639,1513,1.819,324
Turkey,Europe,14387340,17058.927,298775,354.255,34343,95681,113.448,1236,1.466,132
Italy,Europe,13048774,21878.686,264850,444.07,22662,156017,261.591,1250,2.096,130
Spain,Europe,11136425,23528.016,106040,224.032,14266,100574,212.484,544,1.149,98
Argentina,Americas,8942888,19787,42232,93.442,6286,126842,280.65,690,1.527,74
Iran (Islamic Republic of),Eastern Mediterranean,7096318,8448.707,44889,53.444,6426,138116,164.438,1278,1.522,168
Netherlands,Europe,6771643,38900.531,410075,2355.726,64107,21612,124.153,60,0.345,5
Colombia,Americas,6071704,11932.702,9003,17.694,1088,139091,273.355,398,0.782,54
Indonesia,South-East Asia,5800253,2120.568,211077,77.17,30148,150831,55.144,2171,0.794,401
Poland,Europe,5760498,15175.924,80464,211.981,13176,112768,297.085,1182,3.114,217
Mexico,Americas,5564985,4316.192,56356,43.71,1905,319859,248.082,1710,1.326,35
Japan,Western Pacific,5434108,4296.537,428216,338.574,40575,25049,19.805,1416,1.12,114
Ukraine,Europe,4879339,11156.917,37196,85.051,4332,106739,244.065,610,1.395,60
Republic of Korea,Western Pacific,4869691,9498.28,1596246,3113.461,202721,9282,18.104,1112,2.169,186
Viet Nam,Western Pacific,4582058,4707.34,1138573,1169.704,147358,40891,42.009,639,0.656,78
South Africa,Africa,3685120,6213.457,11078,18.679,801,99609,167.95,197,0.332,66
Israel,Europe,3682528,42545.324,45739,528.436,4769,10322,119.253,83,0.959,2
Philippines,Western Pacific,3668268,3347.538,6276,5.727,733,57066,52.077,615,0.561,43
Malaysia,Western Pacific,3649463,11275.607,206727,638.717,26856,33305,102.901,556,1.718,77
Czechia,Europe,3642514,34061.481,54548,510.083,10419,38986,364.562,236,2.207,46
Belgium,Europe,3601627,31257.503,34719,301.316,7,30296,262.93,88,0.764,2
Peru,Americas,3527549,10698.667,11285,34.226,1609,211108,640.267,570,1.729,76
Portugal,Europe,3337806,32418.76,75188,730.271,5606,21216,206.062,153,1.486,17
Canada,Americas,3323338,8805.374,39801,105.455,2697,36986,97.997,449,1.19,30
Chile,Americas,3202562,16753.13,141543,740.435,14114,43226,226.122,873,4.567,149
Thailand,South-East Asia,3066800,4393.698,154453,221.279,18943,23369,33.48,393,0.563,69
Australia,Western Pacific,3010761,11806.96,168944,662.529,23849,5448,21.365,277,1.086,32
Switzerland,Europe,2935467,33917.927,118595,1370.309,26,12726,147.043,23,0.266,0
Austria,Europe,2919373,32798.023,220870,2481.389,26652,14444,162.273,231,2.595,27
Denmark,Europe,2876288,49397.305,111450,1914.04,12225,4905,84.238,293,5.032,37
Romania,Europe,2771449,14338.415,37965,196.416,3188,63993,331.075,579,2.996,32
Greece,Europe,2517111,23483.657,95447,890.483,8639,26246,244.865,386,3.601,52
Sweden,Europe,2455966,23780.633,9002,87.165,0,17512,169.565,40,0.387,0
Iraq,Eastern Mediterranean,2308928,5740.39,6135,15.253,737,25068,62.323,79,0.196,18
Bangladesh,South-East Asia,1947702,1182.652,3326,2.02,0,29089,17.663,44,0.027,0
Serbia,Europe,1927849,27832.122,16874,243.608,2231,15463,223.237,222,3.205,26
Hungary,Europe,1807285,18499.209,17704,181.217,1387,44495,455.447,444,4.545,59
Jordan,Eastern Mediterranean,1654677,16217.341,22969,225.117,0,13882,136.056,47,0.461,0
Georgia,Europe,1629065,40837.141,16746,419.786,2783,16430,411.865,231,5.791,32
Pakistan,Eastern Mediterranean,1515014,685.861,5654,2.56,756,30272,13.704,94,0.043,7
Slovakia,Europe,1512913,27719.828,54784,1003.761,0,18750,343.54,220,4.031,46
